"countries","genres","genre_count","ranking_per_country"
" Cambodia"," International Movies","2","1"
"Serbia"," Sci-Fi & Fantasy","2","1"
"Venezuela","Documentaries","2","1"
" Romania","Dramas","2","1"
"Syria"," Independent Movies","1","1"
" Bahamas","Action & Adventure","1","1"
" Kazakhstan","Children & Family Movies","1","1"
" Montenegro"," International Movies","1","1"
"Greece","Documentaries","1","1"
"Guatemala"," Independent Movies","1","1"
" Samoa","Documentaries","1","1"
" West Germany"," Classic Movies","1","1"
" Venezuela","Dramas","1","1"
" Azerbaijan"," Romantic TV Shows","1","1"
" Slovenia"," Independent Movies","1","1"
"Iran"," International Movies","1","1"
"Ukraine"," TV Dramas","1","1"
" Vatican City"," Faith & Spirituality","1","1"
" Namibia"," International Movies","1","1"
"Jamaica"," Sports Movies","1","1"
" Guatemala","Documentaries","1","1"
" Armenia","Documentaries","1","1"
" Angola"," International Movies","1","1"
" Nicaragua","Documentaries","1","1"
" Ukraine"," International Movies","1","1"
"Luxembourg","Crime TV Shows","1","1"
" Ghana"," Independent Movies","1","1"
"Mauritius"," Comedies","1","1"
" Uganda","Documentaries","1","1"
"Mozambique","Dramas","1","1"
"Namibia","Dramas","1","1"
" Ethiopia"," International Movies","1","1"
" Syria"," Dramas","1","1"
" Palestine"," International Movies","1","1"
" Ecuador","Documentaries","1","1"
" East Germany","Children & Family Movies","1","1"
"Paraguay"," International Movies","1","1"
" Dominican Republic"," Thrillers","1","1"
" Cuba"," Spanish-Language TV Shows","1","1"
" Slovakia"," International Movies","1","1"
" Sudan","Dramas","1","1"
"Puerto Rico"," International TV Shows","1","1"
" Sri Lanka"," International Movies","1","1"
" Albania"," International Movies","1","1"
" Senegal"," International Movies","1","1"
"Senegal"," TV Dramas","1","1"
" Afghanistan"," International Movies","1","1"
" Burkina Faso"," Independent Movies","1","1"
"Slovenia"," Independent Movies","1","1"
"Somalia","Dramas","1","1"
" Panama"," Sports Movies","1","1"
" Botswana","Documentaries","1","1"
"Soviet Union"," Sci-Fi & Fantasy","1","1"
"Belarus"," Kids' TV","1","1"
" Mongolia","Documentaries","1","1"
" Malta"," TV Action & Adventure","1","1"
" Bermuda","Documentaries","1","1"
"Cambodia","Action & Adventure","1","1"
"Cameroon"," International Movies","1","1"
" Bangladesh"," Independent Movies","1","1"
" Malawi","Children & Family Movies","1","1"
" Lithuania"," International Movies","1","1"
" Liechtenstein"," Dramas","1","1"
"Croatia"," International Movies","1","1"
"Cyprus"," TV Comedies","1","1"
"West Germany"," International Movies","1","1"
" Latvia"," International Movies","1","1"
" Kuwait"," TV Dramas","1","1"
"Zimbabwe"," Romantic Movies","1","1"
